"id","DateRecorded","NewStudentPositives","NewEmployeePositives","TotalConfirmedCases","ActiveCases","RecoveredCases","NumberOfCases","NumberOfTests","created_at","updated_at","NewStudentPositivesOutsideCNY","NewEmployeePositivesOutsideCNY","ActiveCasesOutsideCNY","StudentsInQuarantine","TestAdministeredCampus10Day","PositveTests14Day","PositveTests14DayLabel","NotesSection"
37,"2020-10-03",1,0,-1,4,93,0,56657,"2020-10-03T17:45:38.989Z","2020-10-03T17:58:09.944Z",0,0,0,131,10057,5,"Positive Tests Within 14-Day Period (Sep 26. - Oct 9.):*","For information about COVID-19 in the City of Syracuse and other communities in Onondaga County, please visit the [Onondaga County COVID-19](https://covid19.ongov.net/data/) site."
39,"2020-10-05",5,0,4,9,94,0,57154,"2020-10-05T17:35:37.201Z","2020-10-05T17:35:37.213Z",0,0,0,40,8149,11,"Positive Tests Within 14-Day Period (Sep 26. - Oct 9.)","For information about COVID-19 in the City of Syracuse and other communities in Onondaga County, please visit the [Onondaga County COVID-19](https://covid19.ongov.net/data/) site."
44,"2020-10-10",10,0,10,86,95,0,63737,"2020-10-10T18:01:43.359Z","2020-10-10T18:01:43.372Z",0,0,1,209,11080,10,"Positive Tests Within 14-Day Period (Oct 10. - Oct 23.)*:","Syracuse University continues to trace, test and confirm cases related to the recent cluster of COVID cases associated with one or more off-campus gatherings.  We will continue to report cases daily as they are confirmed. [Read more about the steps being taken to contain this cluster](https://news.syr.edu/blog/2020/10/09/covid-19-update-travel-reminder-in-person-learning-health-and-safety/).

For information about COVID-19 in the City of Syracuse and other communities in Onondaga County, please visit the [Onondaga County COVID-19](https://covid19.ongov.net/data/) site."
40,"2020-10-06",16,0,16,25,94,0,58609,"2020-10-06T16:58:46.766Z","2020-10-06T23:04:22.475Z",0,0,0,62,8793,27,"Positive Tests Within 14-Day Period (Sep 26. - Oct 9.)","UPDATE:  [As communicated earlier today](https://news.syr.edu/blog/2020/10/06/emerging-cluster-of-covid-19-continued-vigilance-critical-to-public-health-strategy/), the University is currently taking action to address what our investigation suggests is an emerging cluster of COVID cases, associated with one or more off-campus gatherings that took place late last week. As of 5:30 p.m. on Tuesday, October 6, 2020, our clinical and surveillance testing indicates as many as 45 positive COVID cases associated with last week’s off-campus gathering, and we fully to confirm additional cases in the days to come. [Read more about the steps being taken to contain this outbreak](https://news.syr.edu/blog/2020/10/06/new-provisions-in-place-to-prevent-spread-beyond-emerging-cluster/).

For information about COVID-19 in the City of Syracuse and other communities in Onondaga County, please visit the [Onondaga County COVID-19](https://covid19.ongov.net/data/) site."
7,"2020-08-06",0,0,0,0,0,0,0,"2020-08-06T14:36:03.284Z","2020-08-18T16:22:48.381Z",0,0,0,0,0,NA,NA,NA
41,"2020-10-07",20,0,20,45,94,0,60625,"2020-10-07T17:55:20.456Z","2020-10-07T18:06:16.823Z",0,0,0,134,10788,47,"Positive Tests Within 14-Day Period (Sep 26. - Oct 9.)","Syracuse University continues to trace, test and confirm cases related to the recent cluster of COVID cases associated with one or more off-campus gatherings.  We will continue to report cases daily as they are confirmed. [Read more about the steps being taken to contain this cluster](https://news.syr.edu/blog/2020/10/06/new-provisions-in-place-to-prevent-spread-beyond-emerging-cluster/).

For information about COVID-19 in the City of Syracuse and other communities in Onondaga County, please visit the [Onondaga County COVID-19](https://covid19.ongov.net/data/) site."
42,"2020-10-08",20,0,20,65,94,0,61368,"2020-10-08T17:37:27.281Z","2020-10-08T17:37:27.293Z",0,0,0,164,11232,67,"Positive Tests Within 14-Day Period (Sep 26. - Oct 9.)","Syracuse University continues to trace, test and confirm cases related to the recent cluster of COVID cases associated with one or more off-campus gatherings.  We will continue to report cases daily as they are confirmed. [Read more about the steps being taken to contain this cluster](https://news.syr.edu/blog/2020/10/07/holding-each-other-accountable-to-remain-on-campus/).

For information about COVID-19 in the City of Syracuse and other communities in Onondaga County, please visit the [Onondaga County COVID-19](https://covid19.ongov.net/data/) site."
11,"2020-08-18",2,0,5,5,10,0,6194,"2020-08-18T17:54:06.442Z","2020-08-18T17:54:20.473Z",3,0,8,10,0,NA,NA,NA
10,"2020-08-11",3,0,8,3,5,8,1344,"2020-08-11T20:04:31.720Z","2020-08-18T17:54:26.390Z",5,0,5,0,0,NA,NA,NA
43,"2020-10-09",12,0,12,76,95,0,62740,"2020-10-09T19:55:02.319Z","2020-10-09T20:38:00.649Z",1,0,1,191,10808,80,"Positive Tests Within 14-Day Period (Sep 26. - Oct 9.)","Syracuse University continues to trace, test and confirm cases related to the recent cluster of COVID cases associated with one or more off-campus gatherings.  We will continue to report cases daily as they are confirmed. [Read more about the steps being taken to contain this cluster](https://news.syr.edu/blog/2020/10/09/covid-19-update-travel-reminder-in-person-learning-health-and-safety/).

For information about COVID-19 in the City of Syracuse and other communities in Onondaga County, please visit the [Onondaga County COVID-19](https://covid19.ongov.net/data/) site."
