"OBJECTID","DATE","CONFIRMED","ACTIVE","RECOVERED","Shape__Area","Shape__Length"
188,"OCT27",2470,125,2229,714926133.740173,171664.844393866
189,"OCT28",2484,126,2242,714926133.740173,171664.844393866
190,"OCT29",2507,137,2254,714926133.740173,171664.844393866
191,"OCT30",2545,157,2272,714926133.740173,171664.844393866
192,"OCT31",2573,158,2299,714926133.740173,171664.844393866
193,"NOV1",2598,183,2299,714926133.740173,171664.844393866
194,"NOV2",2615,178,2321,714926133.740173,171664.844393866
195,"NOV3",2627,166,2345,714926133.740173,171664.844393866
196,"NOV4",2652,188,2348,714926133.740173,171664.844393866
197,"NOV5",2696,213,2367,714926133.740173,171664.844393866
198,"NOV6",2763,267,2380,714926133.740173,171664.844393866
199,"NOV7",2795,265,2414,714926133.740173,171664.844393866
200,"NOV8",2836,306,2414,714926133.740173,171664.844393866
201,"NOV9",2876,316,2443,714926133.740173,171664.844393866
202,"NOV10",2912,308,2487,714926133.740173,171664.844393866
