"MMWR.Week","Type","Count"
"Week 9: 2/23-2/29","Symptomatic","1"
"Week 10: 3/1-3/7","Symptomatic","5"
"Week 11: 3/8-3/14","Symptomatic","47"
"Week 12 : 3/15-3/21","Symptomatic","158"
"Week 13: 3/22-3/28","Symptomatic","151"
"Week 14: 3/29-4/4","Symptomatic","108"
"Week 15: 4/5-4/11","Symptomatic","113"
"Week 16: 4/12-4/18","Symptomatic","138"
"Week 17: 4/19-4/25","Symptomatic","164"
"Week 18: 4/26-5/2","Symptomatic","173"
"Week 19: 5/3-5/9","Symptomatic","179"
"Week 20: 5/10-5/16","Symptomatic","189"
"Week 21: 5/17-5/23","Symptomatic","153"
"Week 22: 5/24-5/30","Symptomatic","94"
"Week 23: 5/31-6/6","Symptomatic","89"
"Week 24: 6/7-6/13","Symptomatic","68"
"Week 25: 6/14-6/20","Symptomatic","79"
"Week 26: 6/21-6/27","Symptomatic","101"
"Week 27: 6/28-7/4","Symptomatic","117"
"Week 28: 7/5-7/11","Symptomatic","151"
"Week 29: 7/12-18","Symptomatic","84"
"Week 30: 7/19-7/25","Symptomatic","58"
"Week 31: 7/26-8/1","Symptomatic","44"
"Week 32: 8/2-8/8","Symptomatic","45"
"Week 33: 8/9-8/15","Symptomatic","75"
"Week 34: 8/16-8/22","Symptomatic","58"
"Week 35: 8/23-8/29","Symptomatic","62"
"Week 36: 8/30-9/5","Symptomatic","59"
"Week 37: 9/6-9/12","Symptomatic","71"
"Week 38: 9/13-9/19","Symptomatic","84"
"Week 39: 9/20-9/26","Symptomatic","114"
"Week 40: 9/27-10/3","Symptomatic","95"
"Week 41: 10/4-10/10","Symptomatic","235"
"Week 42: 10/11-10/17","Symptomatic","183"
"Week 43: 10/18-10/24","Symptomatic","289"
"Week 44: 10/24-10/31","Symptomatic","437"
"Week 45: 11/1-11/7","Symptomatic","434"
"","Symptomatic",NA
"Week 9: 2/23-2/29","Asymptomatic","0"
"Week 10: 3/1-3/7","Asymptomatic","0"
"Week 11: 3/8-3/14","Asymptomatic","0"
"Week 12 : 3/15-3/21","Asymptomatic","1"
"Week 13: 3/22-3/28","Asymptomatic","1"
"Week 14: 3/29-4/4","Asymptomatic","2"
"Week 15: 4/5-4/11","Asymptomatic","3"
"Week 16: 4/12-4/18","Asymptomatic","13"
"Week 17: 4/19-4/25","Asymptomatic","43"
"Week 18: 4/26-5/2","Asymptomatic","68"
"Week 19: 5/3-5/9","Asymptomatic","91"
"Week 20: 5/10-5/16","Asymptomatic","115"
"Week 21: 5/17-5/23","Asymptomatic","106"
"Week 22: 5/24-5/30","Asymptomatic","94"
"Week 23: 5/31-6/6","Asymptomatic","50"
"Week 24: 6/7-6/13","Asymptomatic","38"
"Week 25: 6/14-6/20","Asymptomatic","65"
"Week 26: 6/21-6/27","Asymptomatic","57"
"Week 27: 6/28-7/4","Asymptomatic","47"
"Week 28: 7/5-7/11","Asymptomatic","57"
"Week 29: 7/12-18","Asymptomatic","30"
"Week 30: 7/19-7/25","Asymptomatic","26"
"Week 31: 7/26-8/1","Asymptomatic","28"
"Week 32: 8/2-8/8","Asymptomatic","23"
"Week 33: 8/9-8/15","Asymptomatic","44"
"Week 34: 8/16-8/22","Asymptomatic","26"
"Week 35: 8/23-8/29","Asymptomatic","33"
"Week 36: 8/30-9/5","Asymptomatic","24"
"Week 37: 9/6-9/12","Asymptomatic","20"
"Week 38: 9/13-9/19","Asymptomatic","31"
"Week 39: 9/20-9/26","Asymptomatic","38"
"Week 40: 9/27-10/3","Asymptomatic","46"
"Week 41: 10/4-10/10","Asymptomatic","50"
"Week 42: 10/11-10/17","Asymptomatic","65"
"Week 43: 10/18-10/24","Asymptomatic","61"
"Week 44: 10/24-10/31","Asymptomatic","89"
"Week 45: 11/1-11/7","Asymptomatic","90"
"","Asymptomatic",NA
"Week 9: 2/23-2/29","Unknown","0"
"Week 10: 3/1-3/7","Unknown","0"
"Week 11: 3/8-3/14","Unknown","0"
"Week 12 : 3/15-3/21","Unknown","0"
"Week 13: 3/22-3/28","Unknown","0"
"Week 14: 3/29-4/4","Unknown","2"
"Week 15: 4/5-4/11","Unknown","1"
"Week 16: 4/12-4/18","Unknown","2"
"Week 17: 4/19-4/25","Unknown","1"
"Week 18: 4/26-5/2","Unknown","7"
"Week 19: 5/3-5/9","Unknown","4"
"Week 20: 5/10-5/16","Unknown","9"
"Week 21: 5/17-5/23","Unknown","4"
"Week 22: 5/24-5/30","Unknown","2"
"Week 23: 5/31-6/6","Unknown","1"
"Week 24: 6/7-6/13","Unknown","0"
"Week 25: 6/14-6/20","Unknown","2"
"Week 26: 6/21-6/27","Unknown","1"
"Week 27: 6/28-7/4","Unknown","0"
"Week 28: 7/5-7/11","Unknown","0"
"Week 29: 7/12-18","Unknown","0"
"Week 30: 7/19-7/25","Unknown","0"
"Week 31: 7/26-8/1","Unknown","0"
"Week 32: 8/2-8/8","Unknown","1"
"Week 33: 8/9-8/15","Unknown","1"
"Week 34: 8/16-8/22","Unknown","1"
"Week 35: 8/23-8/29","Unknown","0"
"Week 36: 8/30-9/5","Unknown","0"
"Week 37: 9/6-9/12","Unknown","0"
"Week 38: 9/13-9/19","Unknown","0"
"Week 39: 9/20-9/26","Unknown","0"
"Week 40: 9/27-10/3","Unknown","1"
"Week 41: 10/4-10/10","Unknown","2"
"Week 42: 10/11-10/17","Unknown","1"
"Week 43: 10/18-10/24","Unknown","5"
"Week 44: 10/24-10/31","Unknown","6"
"Week 45: 11/1-11/7","Unknown","27"
"","Unknown",""
