"MMWR Week","Cases","V3","V4","V5"
"6/1/20","75",1,14,"0\"
"6/2/20","71",2,13,"0\"
"6/3/20","74",5,13,"0\"
"6/4/20","69",2,12,"0\"
"6/5/20","64",5,12,"0\"
"6/6/20","67",8,14,"0\"
"6/7/20","69",4,11,"0\"
"6/8/20","70",7,13,"0\"
"6/9/20","60",5,12,"0\"
"6/10/20","57",4,12,"0\"
"6/11/20","57",5,13,"0\"
"6/12/20","55",5,14,"0\"
"6/13/20","52",4,10,"0\"
"6/14/20","49",3,8,"0\"
"6/15/20","48",2,8,"0\"
"6/16/20","44",0,8,"0\"
"6/17/20","44",2,8,"0\"
"6/18/20","42",1,7,"0\"
"6/19/20","41",2,8,"0\"
"6/20/20","43",3,9,"0\"
"6/21/20","43",2,10,"0\"
"6/22/20","42",3,9,"0\"
"6/23/20","39",2,9,"0\"
"6/24/20","40",4,9,"0\"
"6/25/20","37",2,8,"0\"
"6/26/20","38",6,8,"0\"
"6/27/20","33",0,6,"0\"
"6/28/20","35",4,5,"0\"
"6/29/20","33",2,4,"0\"
"6/30/20","31",4,4,"0\"
"7/1/20","31",5,5,"0\"
"7/2/20","30",2,5,"0\"
"7/3/20","29",1,5,"0\"
"7/4/20","28",4,5,"0\"
"7/5/20","28",2,6,"0\"
"7/6/20","36",11,4,"0\"
"7/7/20","49",14,3,"0\"
"7/8/20","49",6,3,"0\"
"7/9/20","51",7,4,"0\"
"7/10/20","50",3,4,"0\"
"7/11/20","49",4,4,"0\"
"7/12/20","47",2,4,"0\"
"7/13/20","48",4,5,"0\"
"7/14/20","48",7,4,"0\"
"7/15/20","46",2,4,"0\"
"7/16/20","46",2,5,"0\"
"7/17/20","43",2,5,"0\"
"7/18/20","43",1,6,"0\"
"7/19/20","42",2,6,"0\"
"7/20/20","43",2,7,"0\"
"7/21/20","43",3,6,"0\"
"7/22/20","45",4,6,"0\"
"7/23/20","41",0,6,"0\"
"7/24/20","40",2,5,"0\"
"7/25/20","38",2,6,"0\"
"7/26/20","38",2,5,"0\"
"7/27/20","37",1,4,"0\"
"7/28/20","33",2,4,"0\"
"7/29/20","31",1,4,"0\"
"7/30/20","28",4,4,"0\"
"7/31/20","24",2,4,"0\"
"8/1/20","20",2,3,"0\"
"8/2/20","20",1,3,"0\"
"8/3/20","19",0,3,"0\"
"8/4/20","18",0,3,"0\"
"8/5/20","16",0,3,"0\"
"8/6/20","14",1,3,"0\"
"8/7/20","14",0,3,"0\"
"8/8/20","17",3,3,"0\"
"8/9/20","16",1,4,"0\"
"8/10/20","15",0,5,"0\"
"8/11/20","16",1,4,"0\"
"8/12/20","16",2,3,"0\"
"8/13/20","17",3,2,"0\"
"8/14/20","16",3,2,"0\"
"8/15/20","20",5,3,"0\"
"8/16/20","21",4,4,"0\"
"8/17/20","20",1,4,"0\"
"8/18/20","14",1,3,"0\"
"8/19/20","13",1,2,"0\"
"8/20/20","13",1,2,"0\"
"8/21/20","11",1,1,"0\"
"8/22/20","14",3,2,"0\"
"8/23/20","16",2,3,"0\"
"8/24/20","17",3,4,"0\"
"8/25/20","15",1,3,"0\"
"8/26/20","14",1,2,"0\"
"8/27/20","13",1,2,"0\"
"8/28/20","13",3,2,"0\"
"8/29/20","15",3,1,"0\"
"8/30/20","17",2,1,"0\"
"8/31/20","15",0,1,"0\"
"9/1/20","15",3,0,"0\"
"9/2/20","13",1,0,"0\"
"9/3/20","14",2,0,"0\"
"9/4/20","13",2,0,"0\"
"9/5/20","12",0,1,"0\"
"9/6/20","15",4,1,"0\"
