"counts","Type","Date"
10353,"onSiteStudentPopulation","Dec 22, 2020 11:27:25 AM"
1651,"onSiteTeacherPopulation","Dec 22, 2020 11:27:25 AM"
1526,"onSiteStaffPopulation","Dec 22, 2020 11:27:25 AM"
13530,"onSiteTotalPopulation","Dec 22, 2020 11:27:25 AM"
4,"onSitePositiveStudents","Dec 22, 2020 11:27:25 AM"
0,"onSitePositiveTeachers","Dec 22, 2020 11:27:25 AM"
4,"onSitePositiveStaff","Dec 22, 2020 11:27:25 AM"
8,"onSitePositiveTotal","Dec 22, 2020 11:27:25 AM"
0.0386361441128175,"onSitePercentPositiveStudents","Dec 22, 2020 11:27:25 AM"
0,"onSitePercentPositiveTeachers","Dec 22, 2020 11:27:25 AM"
0.262123197903014,"onSitePercentPositiveStaff","Dec 22, 2020 11:27:25 AM"
0.0591278640059128,"onSitePercentPositiveTotal","Dec 22, 2020 11:27:25 AM"
6792,"offSiteStudentPopulation","Dec 22, 2020 11:27:25 AM"
66,"offSiteTeacherPopulation","Dec 22, 2020 11:27:25 AM"
6,"offSiteStaffPopulation","Dec 22, 2020 11:27:25 AM"
6864,"offSiteTotalPopulation","Dec 22, 2020 11:27:25 AM"
3,"offSitePositiveStudents","Dec 22, 2020 11:27:25 AM"
0,"offSitePositiveTeachers","Dec 22, 2020 11:27:25 AM"
0,"offSitePositiveStaff","Dec 22, 2020 11:27:25 AM"
3,"offSitePositiveTotal","Dec 22, 2020 11:27:25 AM"
0,"schoolAdministeredTestedStudents","Dec 22, 2020 11:27:25 AM"
0,"schoolAdministeredTestedTeachers","Dec 22, 2020 11:27:25 AM"
0,"schoolAdministeredTestedStaff","Dec 22, 2020 11:27:25 AM"
0,"schoolAdministeredTestedTotal","Dec 22, 2020 11:27:25 AM"
0,"onSiteStudentTests","Dec 22, 2020 11:27:25 AM"
0,"onSiteTeacherTests","Dec 22, 2020 11:27:25 AM"
0,"onSiteStaffTests","Dec 22, 2020 11:27:25 AM"
0,"offSiteStudentTests","Dec 22, 2020 11:27:25 AM"
0,"offSiteTeacherTests","Dec 22, 2020 11:27:25 AM"
0,"offSiteStaffTests","Dec 22, 2020 11:27:25 AM"
