"counts","Type","Date"
10353,"onSiteStudentPopulation","Nov 24, 2020 3:19:03 PM"
1651,"onSiteTeacherPopulation","Nov 24, 2020 3:19:03 PM"
1526,"onSiteStaffPopulation","Nov 24, 2020 3:19:03 PM"
13530,"onSiteTotalPopulation","Nov 24, 2020 3:19:03 PM"
17,"onSitePositiveStudents","Nov 24, 2020 3:19:03 PM"
5,"onSitePositiveTeachers","Nov 24, 2020 3:19:03 PM"
6,"onSitePositiveStaff","Nov 24, 2020 3:19:03 PM"
28,"onSitePositiveTotal","Nov 24, 2020 3:19:03 PM"
0.164203612479475,"onSitePercentPositiveStudents","Nov 24, 2020 3:19:03 PM"
0.302846759539673,"onSitePercentPositiveTeachers","Nov 24, 2020 3:19:03 PM"
0.393184796854522,"onSitePercentPositiveStaff","Nov 24, 2020 3:19:03 PM"
0.206947524020695,"onSitePercentPositiveTotal","Nov 24, 2020 3:19:03 PM"
6792,"offSiteStudentPopulation","Nov 24, 2020 3:19:03 PM"
66,"offSiteTeacherPopulation","Nov 24, 2020 3:19:03 PM"
6,"offSiteStaffPopulation","Nov 24, 2020 3:19:03 PM"
6864,"offSiteTotalPopulation","Nov 24, 2020 3:19:03 PM"
3,"offSitePositiveStudents","Nov 24, 2020 3:19:03 PM"
0,"offSitePositiveTeachers","Nov 24, 2020 3:19:03 PM"
0,"offSitePositiveStaff","Nov 24, 2020 3:19:03 PM"
3,"offSitePositiveTotal","Nov 24, 2020 3:19:03 PM"
0,"schoolAdministeredTestedStudents","Nov 24, 2020 3:19:03 PM"
0,"schoolAdministeredTestedTeachers","Nov 24, 2020 3:19:03 PM"
0,"schoolAdministeredTestedStaff","Nov 24, 2020 3:19:03 PM"
0,"schoolAdministeredTestedTotal","Nov 24, 2020 3:19:03 PM"
0,"eclrsTests","Nov 24, 2020 3:19:03 PM"
0,"eclrsPositives","Nov 24, 2020 3:19:03 PM"
3,"onSiteStudentTests","Nov 24, 2020 3:19:03 PM"
0,"onSiteTeacherTests","Nov 24, 2020 3:19:03 PM"
0,"onSiteStaffTests","Nov 24, 2020 3:19:03 PM"
0,"offSiteStudentTests","Nov 24, 2020 3:19:03 PM"
0,"offSiteTeacherTests","Nov 24, 2020 3:19:03 PM"
0,"offSiteStaffTests","Nov 24, 2020 3:19:03 PM"
