"counts","Type","Date"
29,"onSitePositiveStudents","Nov 18, 2020 2:46:31 PM"
24,"onSitePositiveTeachers","Nov 18, 2020 2:46:31 PM"
13,"onSitePositiveStaff","Nov 18, 2020 2:46:31 PM"
66,"onSitePositiveTotal","Nov 18, 2020 2:46:31 PM"
34,"offSitePositiveStudents","Nov 18, 2020 2:46:31 PM"
3,"offSitePositiveTeachers","Nov 18, 2020 2:46:31 PM"
0,"offSitePositiveStaff","Nov 18, 2020 2:46:31 PM"
37,"offSitePositiveTotal","Nov 18, 2020 2:46:31 PM"
0,"schoolAdministeredTestedStudents","Nov 18, 2020 2:46:31 PM"
76,"schoolAdministeredTestedTeachers","Nov 18, 2020 2:46:31 PM"
70,"schoolAdministeredTestedStaff","Nov 18, 2020 2:46:31 PM"
146,"schoolAdministeredTestedTotal","Nov 18, 2020 2:46:31 PM"
2198,"eclrsTests","Nov 18, 2020 2:46:31 PM"
87,"eclrsPositives","Nov 18, 2020 2:46:31 PM"
377,"onSiteStudentTests","Nov 18, 2020 2:46:31 PM"
64,"onSiteTeacherTests","Nov 18, 2020 2:46:31 PM"
76,"onSiteStaffTests","Nov 18, 2020 2:46:31 PM"
181,"offSiteStudentTests","Nov 18, 2020 2:46:31 PM"
13,"offSiteTeacherTests","Nov 18, 2020 2:46:31 PM"
3,"offSiteStaffTests","Nov 18, 2020 2:46:31 PM"
