"counts","Type","Date"
5,"onSitePositiveStudents","Nov 16, 2020 9:26:52 AM"
10,"onSitePositiveTeachers","Nov 16, 2020 9:26:52 AM"
5,"onSitePositiveStaff","Nov 16, 2020 9:26:52 AM"
20,"onSitePositiveTotal","Nov 16, 2020 9:26:52 AM"
12,"offSitePositiveStudents","Nov 16, 2020 9:26:52 AM"
1,"offSitePositiveTeachers","Nov 16, 2020 9:26:52 AM"
0,"offSitePositiveStaff","Nov 16, 2020 9:26:52 AM"
13,"offSitePositiveTotal","Nov 16, 2020 9:26:52 AM"
0,"schoolAdministeredTestedStudents","Nov 16, 2020 9:26:52 AM"
0,"schoolAdministeredTestedTeachers","Nov 16, 2020 9:26:52 AM"
0,"schoolAdministeredTestedStaff","Nov 16, 2020 9:26:52 AM"
0,"schoolAdministeredTestedTotal","Nov 16, 2020 9:26:52 AM"
248,"eclrsTests","Nov 16, 2020 9:26:52 AM"
23,"eclrsPositives","Nov 16, 2020 9:26:52 AM"
11,"onSiteStudentTests","Nov 16, 2020 9:26:52 AM"
2,"onSiteTeacherTests","Nov 16, 2020 9:26:52 AM"
5,"onSiteStaffTests","Nov 16, 2020 9:26:52 AM"
0,"offSiteStudentTests","Nov 16, 2020 9:26:52 AM"
0,"offSiteTeacherTests","Nov 16, 2020 9:26:52 AM"
0,"offSiteStaffTests","Nov 16, 2020 9:26:52 AM"
