"OBJECTID","DATE","CONFIRMED","ACTIVE","RECOVERED","Shape__Area","Shape__Length","new_cases"
2,2020-04-24,341,145,188,714926133.740173,171664.844393866,NA
3,2020-04-25,351,144,199,714926133.740173,171664.844393866,10
4,2020-04-26,360,150,202,714926133.740173,171664.844393866,9
5,2020-04-27,362,149,204,714926133.740173,171664.844393866,2
6,2020-04-28,377,147,220,714926133.740173,171664.844393866,15
7,2020-04-29,403,167,225,714926133.740173,171664.844393866,26
8,2020-04-30,439,194,231,714926133.740173,171664.844393866,36
9,2020-05-01,457,204,238,714926133.740173,171664.844393866,18
10,2020-05-02,487,215,257,714926133.740173,171664.844393866,30
11,2020-05-03,519,245,258,714926133.740173,171664.844393866,32
12,2020-05-04,543,264,263,714926133.740173,171664.844393866,24
13,2020-05-05,564,281,266,714926133.740173,171664.844393866,21
14,2020-05-06,605,318,269,714926133.740173,171664.844393866,41
15,2020-05-07,644,341,285,714926133.740173,171664.844393866,39
16,2020-05-08,675,354,300,714926133.740173,171664.844393866,31
17,2020-05-09,707,377,306,714926133.740173,171664.844393866,32
18,2020-05-10,718,379,315,714926133.740173,171664.844393866,11
19,2020-05-11,733,371,329,714926133.740173,171664.844393866,15
20,2020-05-12,753,378,338,714926133.740173,171664.844393866,20
21,2020-05-13,776,393,345,714926133.740173,171664.844393866,23
22,2020-05-14,801,410,352,714926133.740173,171664.844393866,25
23,2020-05-15,819,420,357,714926133.740173,171664.844393866,18
24,2020-05-16,833,411,374,714926133.740173,171664.844393866,14
25,2020-05-17,852,421,379,714926133.740173,171664.844393866,19
26,2020-05-18,864,428,383,714926133.740173,171664.844393866,12
27,2020-05-19,884,453,387,714926133.740173,171664.844393866,20
28,2020-05-20,923,469,400,714926133.740173,171664.844393866,39
29,2020-05-21,952,483,415,714926133.740173,171664.844393866,29
30,2020-05-22,976,497,424,714926133.740173,171664.844393866,24
31,2020-05-23,1007,458,491,714926133.740173,171664.844393866,31
32,2020-05-24,1030,478,494,714926133.740173,171664.844393866,23
33,2020-05-25,1070,512,494,714926133.740173,171664.844393866,40
34,2020-05-26,1081,506,510,714926133.740173,171664.844393866,11
35,2020-05-27,1093,502,523,714926133.740173,171664.844393866,12
36,2020-05-28,1104,502,531,714926133.740173,171664.844393866,11
37,2020-05-29,1130,517,541,714926133.740173,171664.844393866,26
38,2020-05-30,1156,535,547,714926133.740173,171664.844393866,26
39,2020-05-31,1177,547,555,714926133.740173,171664.844393866,21
40,2020-06-01,1195,555,562,714926133.740173,171664.844393866,18
41,2020-06-02,1208,551,578,714926133.740173,171664.844393866,13
42,2020-06-03,1233,568,584,714926133.740173,171664.844393866,25
43,2020-06-04,1261,575,601,714926133.740173,171664.844393866,28
44,2020-06-05,1273,578,609,714926133.740173,171664.844393866,12
45,2020-06-06,1290,578,626,714926133.740173,171664.844393866,17
46,2020-06-07,1304,575,640,714926133.740173,171664.844393866,14
47,2020-06-08,1317,577,649,714926133.740173,171664.844393866,13
48,2020-06-09,1328,574,661,714926133.740173,171664.844393866,11
49,2020-06-10,1334,562,678,714926133.740173,171664.844393866,6
50,2020-06-11,1343,537,709,714926133.740173,171664.844393866,9
51,2020-06-12,1363,537,727,714926133.740173,171664.844393866,20
52,2020-06-13,1374,502,772,714926133.740173,171664.844393866,11
53,2020-06-14,1387,505,779,714926133.740173,171664.844393866,13
54,2020-06-15,1396,501,792,714926133.740173,171664.844393866,9
55,2020-06-16,1404,483,818,714926133.740173,171664.844393866,8
56,2020-06-17,1415,466,844,714926133.740173,171664.844393866,11
57,2020-06-18,1430,426,899,714926133.740173,171664.844393866,15
58,2020-06-19,1473,387,981,714926133.740173,171664.844393866,43
59,2020-06-20,1480,361,1014,714926133.740173,171664.844393866,7
60,2020-06-21,1489,359,1024,714926133.740173,171664.844393866,9
61,2020-06-22,1505,356,1043,714926133.740173,171664.844393866,16
62,2020-06-23,1507,303,1096,714926133.740173,171664.844393866,2
63,2020-06-24,1522,313,1101,714926133.740173,171664.844393866,15
64,2020-06-25,1540,330,1101,714926133.740173,171664.844393866,18
65,2020-06-26,1550,332,1109,714926133.740173,171664.844393866,10
66,2020-06-27,1560,334,1117,714926133.740173,171664.844393866,10
67,2020-06-28,1574,341,1124,714926133.740173,171664.844393866,14
68,2020-06-29,1580,296,1174,714926133.740173,171664.844393866,6
69,2020-06-30,1594,309,1175,714926133.740173,171664.844393866,14
70,2020-07-01,1601,293,1197,714926133.740173,171664.844393866,7
71,2020-07-02,1614,258,1245,714926133.740173,171664.844393866,13
72,2020-07-03,1621,258,1252,714926133.740173,171664.844393866,7
73,2020-07-04,1632,260,1261,714926133.740173,171664.844393866,11
74,2020-07-05,1636,234,1291,714926133.740173,171664.844393866,4
75,2020-07-06,1646,194,1341,714926133.740173,171664.844393866,10
76,2020-07-07,1648,175,1362,714926133.740173,171664.844393866,2
77,2020-07-08,1656,177,1368,714926133.740173,171664.844393866,8
78,2020-07-09,1665,148,1406,714926133.740173,171664.844393866,9
79,2020-07-10,1670,145,1414,714926133.740173,171664.844393866,5
80,2020-07-11,1678,143,1424,714926133.740173,171664.844393866,8
81,2020-07-12,1690,138,1440,714926133.740173,171664.844393866,12
82,2020-07-13,1696,113,1471,714926133.740173,171664.844393866,6
83,2020-07-14,1703,110,1481,714926133.740173,171664.844393866,7
84,2020-07-15,1706,109,1485,714926133.740173,171664.844393866,3
85,2020-07-16,1717,117,1485,714926133.740173,171664.844393866,11
86,2020-07-17,1720,121,1489,714926133.740173,171664.844393866,3
87,2020-07-18,1728,129,1489,714926133.740173,171664.844393866,8
88,2020-07-19,1736,131,1495,714926133.740173,171664.844393866,8
89,2020-07-20,1736,129,1497,714926133.740173,171664.844393866,0
90,2020-07-21,1743,125,1508,714926133.740173,171664.844393866,7
91,2020-07-22,1750,107,1532,714926133.740173,171664.844393866,7
92,2020-07-23,1757,101,1545,714926133.740173,171664.844393866,7
93,2020-07-24,1764,107,1546,714926133.740173,171664.844393866,7
94,2020-07-25,1771,113,1547,714926133.740173,171664.844393866,7
95,2020-07-26,1777,112,1553,714926133.740173,171664.844393866,6
96,2020-07-27,1783,76,1595,714926133.740173,171664.844393866,6
97,2020-07-28,1786,66,1608,714926133.740173,171664.844393866,3
98,2020-07-29,1788,54,1622,714926133.740173,171664.844393866,2
99,2020-07-30,1795,60,1623,714926133.740173,171664.844393866,7
100,2020-07-31,1803,66,1625,714926133.740173,171664.844393866,8
101,2020-08-01,1808,66,1630,714926133.740173,171664.844393866,5
102,2020-08-02,1815,71,1632,714926133.740173,171664.844393866,7
103,2020-08-03,1816,64,1640,714926133.740173,171664.844393866,1
104,2020-08-04,1819,51,1656,714926133.740173,171664.844393866,3
105,2020-08-05,1823,52,1659,714926133.740173,171664.844393866,4
106,2020-08-06,1828,49,1667,714926133.740173,171664.844393866,5
107,2020-08-07,1839,53,1674,714926133.740173,171664.844393866,11
108,2020-08-08,1842,49,1681,714926133.740173,171664.844393866,3
109,2020-08-09,1845,51,1682,714926133.740173,171664.844393866,3
110,2020-08-10,1847,43,1692,714926133.740173,171664.844393866,2
111,2020-08-11,1849,41,1696,714926133.740173,171664.844393866,2
112,2020-08-12,1854,44,1697,714926133.740173,171664.844393866,5
113,2020-08-13,1858,48,1697,714926133.740173,171664.844393866,4
114,2020-08-14,1866,53,1700,714926133.740173,171664.844393866,8
115,2020-08-15,1871,58,1700,714926133.740173,171664.844393866,5
116,2020-08-16,1877,64,1700,714926133.740173,171664.844393866,6
117,2020-08-17,1879,55,1711,714926133.740173,171664.844393866,2
118,2020-08-18,1882,56,1713,714926133.740173,171664.844393866,3
119,2020-08-19,1886,57,1716,714926133.740173,171664.844393866,4
120,2020-08-20,1890,58,1719,714926133.740173,171664.844393866,4
121,2020-08-21,1892,53,1726,714926133.740173,171664.844393866,2
122,2020-08-22,1900,56,1731,714926133.740173,171664.844393866,8
123,2020-08-23,1903,58,1732,714926133.740173,171664.844393866,3
124,2020-08-24,1908,62,1733,714926133.740173,171664.844393866,5
125,2020-08-25,1911,45,1753,714926133.740173,171664.844393866,3
126,2020-08-26,1915,44,1758,714926133.740173,171664.844393866,4
127,2020-08-27,1919,45,1761,714926133.740173,171664.844393866,4
