"OBJECTID","CONFIRMED","ACTIVE","RECOVERED","DEATHS","DATE","Shape__Area","Shape__Length","new_cases","new_deaths"
1,0,0,0,0,NA,22448726051.2511,785106.996974002,NA,NA
2,2,2,0,0,NA,22448726051.2511,785106.996974002,2,0
3,2,2,0,0,NA,22448726051.2511,785106.996974002,0,0
4,3,3,0,0,NA,22448726051.2511,785106.996974002,1,0
5,7,7,0,0,NA,22448726051.2511,785106.996974002,4,0
6,13,13,0,0,NA,22448726051.2511,785106.996974002,6,0
7,34,34,0,0,NA,22448726051.2511,785106.996974002,21,0
8,45,45,0,0,NA,22448726051.2511,785106.996974002,11,0
9,53,53,0,0,NA,22448726051.2511,785106.996974002,8,0
10,60,59,0,1,NA,22448726051.2511,785106.996974002,7,1
11,81,80,0,1,NA,22448726051.2511,785106.996974002,21,0
12,111,110,0,1,NA,22448726051.2511,785106.996974002,30,0
13,123,122,0,1,NA,22448726051.2511,785106.996974002,12,0
14,146,145,0,1,NA,22448726051.2511,785106.996974002,23,0
15,194,188,5,1,NA,22448726051.2511,785106.996974002,48,0
16,228,186,41,1,NA,22448726051.2511,785106.996974002,34,0
17,249,193,55,1,NA,22448726051.2511,785106.996974002,21,0
18,277,209,67,1,NA,22448726051.2511,785106.996974002,28,0
19,301,224,75,2,NA,22448726051.2511,785106.996974002,24,1
20,322,232,87,3,NA,22448726051.2511,785106.996974002,21,1
21,349,245,100,4,NA,22448726051.2511,785106.996974002,27,1
22,364,246,113,5,NA,22448726051.2511,785106.996974002,15,1
23,377,257,115,5,NA,22448726051.2511,785106.996974002,13,0
24,397,272,119,6,NA,22448726051.2511,785106.996974002,20,1
25,422,275,141,6,NA,22448726051.2511,785106.996974002,25,0
26,442,281,154,7,NA,22448726051.2511,785106.996974002,20,1
27,456,272,176,8,NA,22448726051.2511,785106.996974002,14,1
28,481,275,197,9,NA,22448726051.2511,785106.996974002,25,1
29,494,251,234,9,NA,22448726051.2511,785106.996974002,13,0
30,520,252,257,11,NA,22448726051.2511,785106.996974002,26,2
31,537,258,268,11,NA,22448726051.2511,785106.996974002,17,0
32,563,278,273,12,NA,22448726051.2511,785106.996974002,26,1
33,579,283,279,17,NA,22448726051.2511,785106.996974002,16,5
34,598,271,310,17,NA,22448726051.2511,785106.996974002,19,0
35,624,276,330,18,NA,22448726051.2511,785106.996974002,26,1
36,637,267,351,19,NA,22448726051.2511,785106.996974002,13,1
37,646,263,362,21,NA,22448726051.2511,785106.996974002,9,2
38,667,276,369,22,NA,22448726051.2511,785106.996974002,21,1
